File Type,Content Git Url,Published Url
Content,docs-ref-autogen/operationsmanager/NetworkMonitoring.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/networkmonitoring?branch=master
Content,docs-ref-autogen/operationsmanager/NetworkMonitoring/Retrieve Network Monitoring Data.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/networkmonitoring/retrieve%20network%20monitoring%20data?branch=master
Content,docs-ref-autogen/operationsmanager/Resource.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/resource?branch=master
Content,docs-ref-autogen/operationsmanager/Resource/Retrieve Alert Columns.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/resource/retrieve%20alert%20columns?branch=master
Content,docs-ref-autogen/operationsmanager/Resource/Retrieve Alert Priority.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/resource/retrieve%20alert%20priority?branch=master
Content,docs-ref-autogen/operationsmanager/Resource/Retrieve Alert Resolution State.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/resource/retrieve%20alert%20resolution%20state?branch=master
Content,docs-ref-autogen/operationsmanager/Resource/Retrieve Alert Severity.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/resource/retrieve%20alert%20severity?branch=master
Content,index.md,https://review.docs.microsoft.com/en-us/rest/operationsmanager/index?branch=master
Resource,docs-ref-conceptual/operationsmanager/Media/index/116854.png,https://review.docs.microsoft.com/en-us/rest/docs-ref-conceptual/operationsmanager/media/index/116854.png?branch=master
Resource,Media/index/116854.png,https://review.docs.microsoft.com/en-us/rest/media/index/116854.png?branch=master
Toc,docs-ref-autogen/toc.md,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/toc.json?branch=master
Toc,breadcrumb/toc.yml,https://review.docs.microsoft.com/en-us/rest/breadcrumb/toc.json?branch=master
